,0-4歳,5-9歳,10-14,15-19歳,20-24歳,25-29歳,30-34歳,35-39歳,40-44歳,45-49歳,50-54歳,55-59歳,60-64歳,65-69歳,70-74歳,75-79歳,80-84歳,85-999歳
乳房,0.0,0.0,0.0,0.0,0.0,5.0,51.0,66.1,150.8,205.6,235.5,239.7,243.8,231.6,255.7,247.4,215.9,190.0
大腸,0.0,0.0,0.0,2.2,0.0,2.5,4.1,21.4,30.8,49.3,41.9,77.6,109.4,190.8,180.0,263.2,288.6,335.0
胃,0.0,0.0,0.0,0.0,2.6,0.0,2.0,3.6,16.9,19.7,22.6,22.4,50.0,82.9,141.4,156.1,225.0,256.7
肺,0.0,0.0,0.0,0.0,0.0,2.5,0.0,3.6,9.2,12.7,37.1,36.2,67.2,89.5,130.0,184.2,186.4,211.7
